               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02119,            0.009736,           0.0095144,             0.91057,             0.90849,             0.90178,             0.89477,            0.018665,            0.008437,           0.0060489,             0.08515,             0.00015,             0.00015
                   1,            0.020911,           0.0095837,           0.0096522,             0.91666,             0.91058,             0.90117,             0.89121,            0.018695,           0.0083069,           0.0059935,            0.069307,          0.00030693,          0.00030693
                   2,            0.021458,           0.0099339,            0.009066,             0.91406,             0.90912,             0.90084,             0.87616,            0.018651,           0.0083663,           0.0059974,            0.053461,          0.00046069,          0.00046069
                   3,            0.021373,            0.009892,           0.0093583,             0.91195,             0.91056,               0.901,             0.86007,            0.019599,            0.008578,           0.0060015,            0.037611,          0.00061129,          0.00061129
                   4,            0.021678,            0.010056,            0.009291,             0.91069,             0.90893,             0.90097,             0.85383,            0.020116,           0.0089294,           0.0060271,            0.021759,          0.00075872,          0.00075872
                   5,            0.020926,           0.0099284,            0.009512,             0.91375,              0.9102,             0.90116,             0.83361,            0.020566,            0.009129,           0.0060127,            0.005903,          0.00090298,          0.00090298
                   6,             0.02194,             0.01023,           0.0092368,             0.91779,             0.91087,             0.90165,             0.86112,            0.019619,           0.0088414,            0.006045,           0.0009406,           0.0009406,           0.0009406
                   7,            0.021467,            0.010074,           0.0094359,             0.91698,             0.90927,             0.90307,             0.85666,            0.020012,           0.0087511,           0.0060656,           0.0009406,           0.0009406,           0.0009406
                   8,            0.021143,            0.009882,           0.0097442,             0.91672,             0.91007,             0.90452,             0.87278,            0.019061,           0.0084862,           0.0060818,           0.0009307,           0.0009307,           0.0009307
                   9,            0.021252,            0.010295,           0.0093828,             0.91482,             0.91171,             0.90372,             0.87456,             0.01916,           0.0085753,           0.0060983,           0.0009208,           0.0009208,           0.0009208
                  10,            0.021198,             0.01013,           0.0095087,              0.9157,             0.91058,             0.90328,             0.86806,            0.019113,           0.0084073,            0.006105,           0.0009109,           0.0009109,           0.0009109
                  11,            0.020627,           0.0096785,           0.0092031,              0.9149,             0.91195,             0.90297,             0.86213,            0.019066,           0.0086312,           0.0061242,            0.000901,            0.000901,            0.000901
                  12,            0.021233,           0.0099423,           0.0093487,             0.91543,             0.91365,             0.90236,             0.87072,            0.019062,           0.0086323,           0.0061075,           0.0008911,           0.0008911,           0.0008911
                  13,            0.020873,           0.0098861,           0.0089494,             0.91262,             0.91367,               0.902,             0.86418,            0.018835,            0.008756,           0.0061111,           0.0008812,           0.0008812,           0.0008812
                  14,            0.021042,           0.0099713,            0.009337,             0.91309,             0.91264,             0.90202,             0.86379,              0.0193,           0.0085731,           0.0060885,           0.0008713,           0.0008713,           0.0008713
                  15,            0.020847,            0.010002,           0.0091469,             0.91388,             0.91161,             0.90145,             0.87825,            0.018674,           0.0083277,           0.0061123,           0.0008614,           0.0008614,           0.0008614
                  16,             0.02044,           0.0098544,           0.0091907,             0.91484,             0.91264,             0.90179,              0.8834,            0.018788,           0.0082495,           0.0060711,           0.0008515,           0.0008515,           0.0008515
                  17,            0.020514,            0.010119,           0.0094597,             0.91495,             0.91264,             0.90202,             0.86976,            0.018643,           0.0084409,           0.0060599,           0.0008416,           0.0008416,           0.0008416
                  18,            0.020646,            0.010142,           0.0094032,             0.91381,             0.91367,             0.90219,             0.85992,            0.019176,           0.0086955,           0.0060461,           0.0008317,           0.0008317,           0.0008317
                  19,            0.020994,           0.0099583,           0.0093206,             0.91646,             0.91303,             0.90157,             0.88394,            0.018659,           0.0084294,           0.0060274,           0.0008218,           0.0008218,           0.0008218
                  20,            0.020667,           0.0096523,           0.0093553,             0.91736,              0.9147,             0.90199,             0.88009,            0.018248,           0.0082168,           0.0059775,           0.0008119,           0.0008119,           0.0008119
                  21,            0.020073,           0.0097502,           0.0092467,             0.91695,             0.91439,             0.90293,             0.87883,            0.018461,           0.0082431,           0.0059747,            0.000802,            0.000802,            0.000802
                  22,            0.020162,           0.0098372,           0.0094542,             0.91755,             0.91379,             0.90182,             0.87889,            0.018209,           0.0081888,           0.0059681,           0.0007921,           0.0007921,           0.0007921
                  23,            0.020023,           0.0098008,           0.0092507,             0.91257,             0.91085,             0.90173,             0.87734,            0.018697,           0.0086274,           0.0060038,           0.0007822,           0.0007822,           0.0007822
                  24,             0.01991,           0.0096096,           0.0092891,             0.91129,             0.90955,             0.90209,              0.8786,            0.018163,           0.0092653,           0.0060214,           0.0007723,           0.0007723,           0.0007723
                  25,            0.020106,           0.0096236,           0.0091401,             0.91911,             0.91164,             0.90205,              0.8836,            0.018217,           0.0085787,           0.0059333,           0.0007624,           0.0007624,           0.0007624
                  26,            0.019812,           0.0093552,           0.0093339,             0.92031,             0.91254,             0.90243,             0.88353,            0.017989,           0.0083176,           0.0058928,           0.0007525,           0.0007525,           0.0007525
                  27,            0.019809,           0.0097144,           0.0090044,             0.91942,             0.91245,             0.90195,             0.88743,            0.017995,           0.0085945,           0.0058804,           0.0007426,           0.0007426,           0.0007426
                  28,            0.019695,            0.009488,           0.0093119,             0.91913,             0.91161,             0.90134,             0.87399,            0.018179,           0.0090822,           0.0058967,           0.0007327,           0.0007327,           0.0007327
                  29,            0.019818,           0.0094369,           0.0095926,             0.91737,             0.91367,             0.90069,             0.88862,            0.017896,           0.0083223,           0.0058745,           0.0007228,           0.0007228,           0.0007228
                  30,            0.019638,           0.0095698,           0.0093351,             0.91864,             0.91218,             0.90177,             0.88785,            0.017792,           0.0083482,           0.0058683,           0.0007129,           0.0007129,           0.0007129
                  31,            0.019826,           0.0099252,            0.009325,             0.92099,             0.91061,             0.90127,             0.88678,            0.017567,           0.0083027,           0.0058736,            0.000703,            0.000703,            0.000703
                  32,            0.019421,            0.009451,           0.0091723,             0.92725,              0.9076,             0.90191,             0.88418,            0.017857,           0.0092759,           0.0058829,           0.0006931,           0.0006931,           0.0006931
                  33,            0.019426,           0.0093886,            0.008983,             0.92541,             0.90791,             0.90174,             0.88231,            0.017806,           0.0089688,           0.0058587,           0.0006832,           0.0006832,           0.0006832
                  34,            0.019482,           0.0094557,           0.0089627,             0.92115,              0.9078,             0.90176,             0.88293,            0.017876,           0.0089173,           0.0058418,           0.0006733,           0.0006733,           0.0006733
                  35,            0.019073,           0.0096211,           0.0092957,             0.91641,             0.90958,             0.90161,             0.88527,            0.017577,           0.0081989,           0.0058099,           0.0006634,           0.0006634,           0.0006634
                  36,            0.019643,           0.0096828,           0.0090638,             0.91592,             0.91016,             0.90197,             0.88604,            0.017628,           0.0086945,           0.0058244,           0.0006535,           0.0006535,           0.0006535
                  37,            0.019589,           0.0094216,            0.009152,             0.91796,             0.90855,             0.90175,             0.89449,            0.017138,            0.008352,           0.0057967,           0.0006436,           0.0006436,           0.0006436
                  38,            0.019833,           0.0093938,           0.0092323,             0.92026,             0.91057,              0.9026,             0.87991,            0.017738,            0.008713,            0.005774,           0.0006337,           0.0006337,           0.0006337
                  39,            0.019611,           0.0093824,           0.0089574,             0.92444,              0.9092,             0.90359,             0.89328,              0.0173,            0.008619,            0.005755,           0.0006238,           0.0006238,           0.0006238
                  40,            0.019001,           0.0091939,            0.009845,             0.92814,             0.90914,              0.9034,             0.89148,            0.017733,           0.0094357,           0.0057525,           0.0006139,           0.0006139,           0.0006139
                  41,            0.019298,           0.0093229,           0.0092063,             0.92562,             0.90937,             0.90226,             0.89228,            0.017367,           0.0088032,           0.0057527,            0.000604,            0.000604,            0.000604
                  42,            0.019677,           0.0095168,           0.0091579,             0.92621,             0.91003,             0.90256,              0.8899,            0.017364,           0.0081696,           0.0057195,           0.0005941,           0.0005941,           0.0005941
                  43,            0.018689,           0.0094096,           0.0090718,             0.92295,              0.9091,             0.90245,             0.89392,             0.01701,           0.0083441,           0.0057273,           0.0005842,           0.0005842,           0.0005842
                  44,             0.01916,            0.009648,           0.0087103,             0.91999,              0.9096,             0.90224,             0.89156,            0.017379,           0.0084802,            0.005733,           0.0005743,           0.0005743,           0.0005743
                  45,            0.019421,           0.0092657,            0.009409,             0.91952,             0.91088,             0.90173,             0.88966,            0.016911,           0.0079784,           0.0057083,           0.0005644,           0.0005644,           0.0005644
                  46,            0.019377,            0.009395,           0.0087587,             0.91971,             0.91052,             0.90194,             0.88943,            0.016923,           0.0082486,           0.0057152,           0.0005545,           0.0005545,           0.0005545
                  47,            0.019012,           0.0092892,           0.0087894,             0.92733,             0.91125,             0.90281,             0.89516,            0.017162,           0.0079763,           0.0056451,           0.0005446,           0.0005446,           0.0005446
                  48,            0.018755,           0.0092423,           0.0090737,              0.9273,             0.90983,             0.90234,             0.89694,            0.016671,           0.0077571,            0.005628,           0.0005347,           0.0005347,           0.0005347
                  49,            0.018486,           0.0091429,           0.0091107,             0.92331,             0.91239,              0.9033,             0.89661,            0.016753,           0.0080431,           0.0056277,           0.0005248,           0.0005248,           0.0005248
